"Data Medicao,Populacao_Estimada,Tipo_Dado_Populacao,DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr)),NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número),TEMPERATURA MAXIMA MEDIA, MENSAL(°C),TEMPERATURA MEDIA COMPENSADA, MENSAL(°C),TEMPERATURA MINIMA MEDIA, MENSAL(°C)"
"1993-10-31,57100.155738,Interpolação Linear,,,,,"
"1993-11-30,57204.426229,Interpolação Linear,0.0,13.0,33.6,,22.6"
"1993-12-31,57308.696721,Interpolação Linear,0.0,16.0,31.8,26.0,22.6"
"1994-01-31,57412.967213,Interpolação Linear,0.0,20.0,31.0,25.7,22.4"
"1994-02-28,57508.016393,Interpolação Linear,,13.0,31.0,,22.2"
"1994-03-31,57612.286885,Interpolação Linear,,24.0,30.8,,22.6"
"1994-04-30,57716.557377,Interpolação Linear,,8.0,32.5,,22.4"
"1994-05-31,57820.827869,Interpolação Linear,,6.0,33.8,26.2,21.6"
"1994-06-30,57925.098361,Interpolação Linear,,,32.7,25.3,20.3"
"1994-07-31,58029.368852,Interpolação Linear,,,33.4,24.5,17.4"
"1994-08-31,58133.639344,Interpolação Linear,,,35.2,24.5,15.4"
"1994-09-30,58237.909836,Interpolação Linear,,,36.4,27.7,20.1"
"1994-10-31,58342.180328,Interpolação Linear,,,34.9,27.4,22.2"
"1994-11-30,58446.45082,Interpolação Linear,,,32.9,26.5,22.6"
"1994-12-31,58550.721311,Interpolação Linear,,,,,"
"1995-01-31,58654.991803,Interpolação Linear,,17.0,31.7,25.6,22.1"
"1995-02-28,58749.95082,Interpolação Linear,,21.0,31.2,25.5,22.0"
"1995-03-31,58854.221311,Interpolação Linear,,18.0,31.8,25.7,22.3"
"1995-04-30,58958.491803,Interpolação Linear,,21.0,31.1,25.7,22.8"
"1995-05-31,59062.762295,Interpolação Linear,,,31.6,25.8,22.1"
"1995-06-30,59167.032787,Interpolação Linear,,,32.7,24.0,17.2"
"1995-07-31,59271.303279,Interpolação Linear,,,33.5,24.1,16.3"
"1995-08-31,59375.57377,Interpolação Linear,,,35.4,25.0,15.8"
"1995-09-30,59479.844262,Interpolação Linear,,,36.7,27.6,20.2"
"1995-10-31,59584.114754,Interpolação Linear,,,34.3,26.9,21.4"
"1995-11-30,59688.385246,Interpolação Linear,,,32.0,26.2,22.2"
"1995-12-31,59792.655738,Interpolação Linear,,,31.9,26.0,22.4"
"1996-01-31,59896.92623,Interpolação Linear,,20.0,31.8,25.6,21.9"
"1996-02-29,59992.065574,Interpolação Linear,,13.0,31.8,25.8,21.8"
"1996-03-31,60096.336066,Interpolação Linear,,17.0,31.3,25.9,22.3"
"1996-04-30,60200.606557,Interpolação Linear,,18.0,31.6,25.9,22.1"
"1996-05-31,60304.877049,Interpolação Linear,,,32.7,25.6,20.9"
"1996-06-30,60409.147541,Interpolação Linear,,,32.6,24.2,17.7"
"1996-07-31,60513.418033,Interpolação Linear,,,34.1,23.3,15.0"
"1996-08-31,60617.688525,Interpolação Linear,9.0,,35.8,26.1,18.3"
"1996-09-30,60721.959016,Interpolação Linear,0.0,,37.1,27.8,20.3"
"1996-10-31,60826.229508,Interpolação Linear,9.0,11.0,32.9,26.7,22.2"
"1996-11-30,60930.5,Interpolação Linear,9.0,,32.0,26.5,22.5"
"1996-12-31,61034.770492,Interpolação Linear,5.0,,32.4,26.3,22.0"
"1997-01-31,61139.040984,Interpolação Linear,,22.0,30.6,25.6,22.3"
"1997-02-28,61234.090164,Interpolação Linear,,17.0,32.1,25.7,21.6"
"1997-03-31,61338.360656,Interpolação Linear,,21.0,29.9,25.3,22.4"
"1997-04-30,61442.631148,Interpolação Linear,,,31.7,25.9,22.3"
"1997-05-31,61546.901639,Interpolação Linear,,,31.8,25.4,20.9"
"1997-06-30,61651.172131,Interpolação Linear,,,33.2,24.3,17.6"
"1997-07-31,61755.442623,Interpolação Linear,9.0,,33.4,23.8,15.6"
"1997-08-31,61859.713115,Interpolação Linear,,,35.6,25.6,16.9"
"1997-09-30,61963.983607,Interpolação Linear,,,35.5,27.4,21.8"
"1997-10-31,62068.254098,Interpolação Linear,,,34.6,27.5,22.4"
"1997-11-30,62172.52459,Interpolação Linear,32.0,,34.5,27.3,22.3"
"1-31,63529.07377,Interpolação Linear,,23.0,31.5,25.8,22.3"
"1999-02-28,63624.122951,Interpolação Linear,18.0,15.0,31.2,25.5,21.9"
"1999-03-31,63728.393443,Interpolação Linear,0.0,22.0,31.1,25.7,22.4"
"1999-04-30,63832.663934,Interpolação Linear,0.0,,32.4,26.3,22.3"
"1999-05-31,63936.934426,Interpolação Linear,9.0,,32.4,25.8,21.3"
"1999-06-30,64041.204918,Interpolação Linear,9.0,,33.7,24.9,18.1"
"1999-07-31,64145.47541,Interpolação Linear,0.0,,33.6,24.0,15.7"
"1999-08-31,64249.745902,Interpolação Linear,0.0,,35.5,26.1,17.4"
"1999-09-30,64354.016393,Interpolação Linear,,,,,"
"1999-10-31,64458.286885,Interpolação Linear,9.0,,34.2,27.6,22.7"
"1999-11-30,64562.557377,Interpolação Linear,27.0,15.0,30.9,26.0,22.0"
"1999-12-31,64666.827869,Interpolação Linear,0.0,23.0,30.5,25.8,22.0"
"2000-01-01,137045.0,Dado Oficial (Censo/Estimativa),,,,,"
"2000-01-31,138019.293103,Interpolação Linear,0.0,20.0,30.7,25.7,21.7"
"2000-02-29,138962.517241,Interpolação Linear,32.0,21.0,30.1,25.0,21.4"
"2000-03-31,139936.810345,Interpolação Linear,32.0,19.0,31.3,25.7,21.8"
"2000-04-30,140892.293103,Interpolação Linear,32.0,18.0,31.6,25.9,21.8"
"2000-05-31,141866.586207,Interpolação Linear,23.0,1.0,33.7,26.7,21.0"
"2000-06-30,142822.068966,Interpolação Linear,9.0,0.0,34.0,26.7,20.2"
"2000-07-31,143796.362069,Interpolação Linear,9.0,1.0,34.2,26.6,20.0"
"2000-08-31,144770.655172,Interpolação Linear,9.0,2.0,35.3,28.4,21.6"
"2000-09-30,145726.137931,Interpolação Linear,9.0,8.0,34.4,28.0,22.5"
"2000-10-31,146700.431034,Interpolação Linear,32.0,12.0,34.0,27.4,22.5"
"2000-11-30,147655.913793,Interpolação Linear,32.0,17.0,31.9,26.4,22.0"
"2000-12-31,148630.206897,Interpolação Linear,32.0,21.0,31.3,25.7,22.0"
"2001-01-31,149604.5,Interpolação Linear,32.0,18.0,31.8,25.8,21.9"
"2001-02-28,150528.948276,Interpolação Linear,32.0,18.0,31.5,25.6,21.8"
"2001-03-31,151503.241379,Interpolação Linear,0.0,22.0,31.4,25.5,21.7"
"2001-04-30,152458.724138,Interpolação Linear,0.0,10.0,32.7,26.3,21.8"
"2001-05-31,153433.017241,Interpolação Linear,18.0,5.0,34.0,27.0,21.7"
"2001-06-30,154388.5,Interpolação Linear,9.0,1.0,34.1,26.4,20.2"
"2001-07-31,155362.793103,Interpolação Linear,0.0,0.0,34.8,26.9,19.8"
"2001-08-31,156337.086207,Interpolação Linear,9.0,0.0,35.0,27.7,21.0"
"2001-09-30,157292.568966,Interpolação Linear,0.0,6.0,35.1,28.4,22.8"
"2001-10-31,158266.862069,Interpolação Linear,0.0,21.0,32.7,26.0,21.8"
"2001-11-30,159222.344828,Interpolação Linear,32.0,23.0,32.2,26.0,21.9"
"2001-12-31,160196.637931,Interpolação Linear,18.0,18.0,32.0,26.0,22.2"
"2002-01-31,161170.931034,Interpolação Linear,0.0,27.0,30.4,25.4,22.2"
"2002-02-28,162095.37931,Interpolação Linear,32.0,11.0,32.8,26.9,22.8"
"2002-03-31,163069.672414,Interpolação Linear,0.0,17.0,32.1,26.3,22.2"
"2002-04-30,164025.155172,Interpolação Linear,0.0,13.0,33.2,26.8,22.0"
"2002-05-31,164999.448276,Interpolação Linear,0.0,6.0,34.0,26.9,21.5"
"2002-06-30,165954.931034,Interpolação Linear,9.0,0.0,34.1,26.5,20.5"
"2002-07-31,166929.224138,Interpolação Linear,9.0,0.0,35.3,27.4,20.9"
"2002-08-31,167903.517241,Interpolação Linear,9.0,0.0,36.7,28.5,21.6"
