feedbacks,reviews,blacklist,mextraversion,cextraversion,sextraversion,mneuroticism,cneuroticism,sneuroticism,mconscientiousness,cconscientiousness,sconscientiousness,magreeableness,cagreeableness,sagreeableness,mopenness,copenness,sopenness,agreeablenessIndico,conscientiousnessIndico,extraversionIndico,opennessIndico,openessWatson,conscientiousnessWatson,extraversionWatson,agreeablenessWatson,neuroticismWatson,o_adventure,o_artistic,o_emotionality,o_imagination,o_intelect,o_liberalism,c_achievement,c_cautiouness,c_dutifulness,c_orderliness,c_discipline,c_efficacy,e_activity,e_assertiveness,e_cheerfulness,e_excitement,e_friend,e_gregariouness,a_altruism,a_cooperation,a_modesty,a_morality,a_simpathy,a_trust,n_anger,n_anxiety,n_depression,n_immoderation,n_selfconsciouness,n_vulnerability,need_chalenge,need_closeness,need_curiosity,need_excitement,need_harmony,need_ideal,need_liberty,need_love,need_practicaly,need_selfexpression,need_stability,need_structure,value_conservation,value_openess,value_hedonism,value_selfenhancement,value_selftranscendence,reputation
2,0,49,N,4.181642,0.6,1,2.777591,0.6,0,4.08546,0.5,0,4.110703,0.4,0,5.645506,0.6,1,0.6840263992025141,0.4105663642115977,0.6463925133822328,0.541885156497777,0.8358887067245419,0.6072715156811077,0.5897813244176109,0.797063296956404,0.4490513406527614,0.4799400126477805,0.7535594480039282,0.7443198062449731,0.7581259593860993,0.6841788537688152,0.5261944931968715,0.6832794219471284,0.5594300009750535,0.6676652481069691,0.5223234787557619,0.5709644094720376,0.7466560811258717,0.49634833897626907,0.6495394461048073,0.5773451825434983,0.5535776521119479,0.5419311567529199,0.3500077089017316,0.7507624903494268,0.6261438589530193,0.4761330140762906,0.7017734593770283,0.764204375232967,0.5128188993928179,0.5699801641469554,0.6118173539876095,0.44632996419759974,0.4684660757764914,0.5428646822107843,0.4421883284327385,0.5877952759985013,0.833622247766009,0.8101435914161992,0.46263548874085303,0.8521829582605831,0.6286198554513858,0.681354459761847,0.82081717967913,0.6963592957762403,0.6987860068338438,0.7569634613817816,0.660119368585195,0.6194156945598719,0.7463717325314599,0.6400725899947721,0.598037041554872,0.828716381071851,Bom
3,0,56,N,4.007042,0.6,0,2.69865,0.6,0,4.187338,0.5,0,3.806675,0.4,0,6.190563,0.6,1,0.46464741961997846,0.4310018156451741,0.5697188869876376,0.588085488181248,0.8303161683678265,0.5724027252946192,0.5648821869598026,0.7228744245990173,0.4615665336779845,0.47864266696929136,0.7106389157107127,0.7012889134468931,0.7823994337362232,0.7163769175585508,0.5472349972486692,0.6570484729330097,0.5107150430012457,0.6549743570196133,0.505224308882426,0.543688629171854,0.7540354872698536,0.46357170665935515,0.6675164513727682,0.5474941186425756,0.5801404536651313,0.5149737411480728,0.3275336198823748,0.7244140864960759,0.5560604284905957,0.42448368054960417,0.61045243654055,0.7572376980758164,0.5147463731214486,0.5958995923437581,0.6239525510762457,0.5009482121622558,0.4677861035998202,0.569568017174604,0.4089362447525957,0.5961680251028533,0.7668701792370562,0.7909149940450435,0.4733583266714525,0.8006803413514901,0.6280220985348048,0.6679254501570551,0.7850164194838021,0.7153001783499273,0.6645724062863808,0.728806247834274,0.6607395495550149,0.5889688637819087,0.7359151314024683,0.6444645861342442,0.603041772443901,0.8093789692710098,Bom
4,0,50,N,4.53823,0.7,1,2.298492,0.5,1,5.085833,0.5,0,4.30767,0.4,0,5.834547,0.8,1,0.5743346412976582,0.4381357513625046,0.5946251962144496,0.5365662357517491,0.8497083843764249,0.5826385595443151,0.577375039333418,0.7529312888531104,0.4514193431235292,0.5107562643929424,0.7378842464584358,0.6767043106958295,0.7857772316772842,0.6843039369708126,0.5770786415509759,0.658175488685498,0.5170500458122642,0.6390823064400787,0.5098975160076702,0.5202914239502434,0.7254577824971518,0.48763489255470305,0.5783487727498079,0.5281230340324277,0.5553607439028709,0.4748533724176504,0.3264936793265277,0.6784538777556957,0.6193641833209288,0.45317457521850407,0.6781542200892893,0.694499991368097,0.525181041889631,0.579213192309803,0.6195243568646644,0.5195244589062008,0.4797143485550482,0.6113947051673468,0.48230951463952776,0.6416732713437139,0.7555545138897172,0.8187920873212371,0.5063259727567228,0.7982448684072442,0.6173545891904905,0.7001261347650954,0.7355380255742989,0.7201499111342557,0.6946775923578096,0.6696518793030668,0.6279623176501362,0.5535228975211687,0.7666184966984261,0.6554697130298307,0.6450420335022421,0.82603890125472,Bom
5,72,0,N,4.692854,0.3,0,2.987231,0.5,0,4.83132,0.7,0,4.613918,0.5,1,4.348694,0.7,1,0.5743414832834612,0.5146388462905226,0.5141153492159763,0.49597598570529544,0.7908339725745798,0.674920222855934,0.6460312647566013,0.7632971882989928,0.5497097395415648,0.489648777703662,0.6466311248286406,0.6089023841364513,0.6773073865453864,0.6147263536607246,0.4880010235184059,0.7129069214142993,0.5493552163018623,0.6641907956373806,0.5383205745357122,0.5961857791183215,0.7562968542516572,0.5856983325402991,0.6244946150222022,0.5821534679936127,0.520175499039764,0.5252562721884366,0.3734681015941472,0.6612925727813486,0.6561784444114179,0.41469242236530585,0.6486991758911504,0.6125880935240464,0.6117925948179079,0.5451516474541334,0.5459357332202875,0.44986894267397615,0.43587057189159895,0.5237060528065708,0.440116382336745,0.6755865262517028,0.7518503367425144,0.8131933144842386,0.5566129652861095,0.775064469265931,0.7006302885830034,0.7014591972958063,0.6909718468363587,0.7397931410834845,0.6370273068054887,0.6972207808057878,0.6385869008810157,0.6752889341092815,0.7522343042619856,0.6796610287899679,0.6744384505733652,0.8133906439451587,Bom
6,76,0,N,4.966753,0.3,0,3.04873,0.5,0,4.725294,0.5,1,4.74325,0.3,0,4.486198,0.7,1,0.6275215295323154,0.5429762125700369,0.48550527782763464,0.4859034079257573,0.7866690808025656,0.6709573349189106,0.540510231824136,0.7646191312491822,0.5298103330819677,0.4733291479609427,0.6630053744244119,0.6088852443944259,0.6959954697846509,0.6010238055046636,0.47773009332809113,0.7029898584620794,0.5547342483339526,0.6670446264908205,0.5299892051347996,0.5747504361998949,0.7334776824655882,0.5632198859026925,0.5404723157802785,0.5656300544817656,0.5044459966857526,0.49383724323294353,0.3432768780500063,0.6440328498532444,0.7136432744336606,0.4498671542292946,0.6702618613204536,0.6186796849715902,0.5960465769291499,0.5165140060448319,0.5839004261302938,0.494272983272381,0.4128673457014601,0.5751154614363163,0.481213093526232,0.6219105205295967,0.7798590841038611,0.7864553643704957,0.4865796472808369,0.8080056462436646,0.6410988570488518,0.6863764913511389,0.7249876132327401,0.7185295301335262,0.6168522888436839,0.6927609231839822,0.6466945861444591,0.6772448536475612,0.6997850365094404,0.6486072634552909,0.6160748792926883,0.8168410763049504,Bom
7,72,0,N,4.83413,0.3,0,2.994083,0.5,0,4.804655,0.7,0,4.697705,0.5,1,4.497989,0.7,1,0.6759802071671736,0.4980914157697524,0.5614245400085288,0.46543922825394385,0.7688755173585492,0.6454303390779194,0.6284883381934052,0.8165123650900116,0.5246049134958959,0.47518712247796446,0.7276216268124498,0.6368299097046732,0.7151911787506351,0.5806131383193297,0.48742699091890396,0.7098791447376283,0.5703503371116985,0.6724408686845739,0.5515697834833779,0.6042854840420483,0.7328115856372407,0.5604609091554041,0.5575889263798902,0.6148689196136936,0.5262211095212865,0.501695021785074,0.38840482517530783,0.67925758970985,0.723672211465467,0.46478510352188296,0.7052355179964065,0.6429188967726295,0.582125043897774,0.5029734506809125,0.5838614442467798,0.4374593841700394,0.3967490375098348,0.5340575993282483,0.49111417997300616,0.6258622724921363,0.8193353644410337,0.8274208846872642,0.5376674779118197,0.803450715088865,0.6952023807576262,0.7102533034577534,0.7434632369377824,0.7054892884757707,0.6627500246656343,0.7192761511357608,0.619854622519897,0.6789773904574645,0.7636640085187948,0.7151878718880784,0.6726967183588747,0.8177813432509692,Ruim
8,68,0,N,4.583227,0.5,0,3.766229,0.5,1,4.768499,0.5,0,5.215561,0.5,0,4.473228,0.5,0,0.44897482844821185,0.5719527677557934,0.4325989893937516,0.4818451507626293,0.7583636696419171,0.6343039890150363,0.5686158495191378,0.7527145016424377,0.4794016334076262,0.4704217236729011,0.6216710558774364,0.5919981605557154,0.702739219288118,0.6227646042608,0.4844528588642717,0.6891563354165999,0.5308876587915367,0.6346262746857505,0.5253003734701677,0.5590771214522917,0.7595667512270438,0.5530255936439845,0.6280268975578819,0.5832436877149832,0.5869947590563522,0.49122346110108167,0.3888385290955524,0.6327483344171029,0.5989252236826476,0.40842992429559505,0.6236679069476554,0.6266064810432933,0.5886893012359454,0.5292692076296417,0.6046260984738575,0.45870279552061305,0.4068411834103328,0.5844065858018322,0.47376894117923946,0.7003204795674116,0.8090426628182673,0.8148283726336436,0.6197517521217342,0.8287039552128669,0.7142055244383476,0.7287536232089326,0.7714601275773567,0.763725321766301,0.6778776722317971,0.7371479043243925,0.6493249719877706,0.6662091458369738,0.7695032046901432,0.7546339857941502,0.690733025272967,0.8187026230181189,Bom
9,142,0,N,4.867134,0.3,0,3.122022,0.5,1,4.700549,0.5,0,4.748369,0.3,0,4.454898,0.7,1,0.5204272144719173,0.558738631421122,0.4416543934809959,0.5190057882638734,0.7952783474736494,0.6369330514653326,0.5943143891938333,0.7394298014403371,0.5023105694182649,0.4790156583039429,0.672819628026101,0.6189694057709625,0.7116563509505119,0.6347351287081854,0.46846168511918507,0.7279022133578605,0.5283570144977339,0.6532741232326607,0.5344228256475456,0.5845570789358986,0.7930900900856122,0.5939832442008365,0.6202921079456022,0.5968279929941682,0.5729065530495583,0.5314720351857966,0.3939501951843989,0.6744957909817404,0.6462207655499304,0.3914490296737212,0.6426160398982161,0.6419560879021686,0.6211822317350428,0.5446152223734161,0.5665248574797753,0.4630834766570158,0.4128462132344112,0.5333224323611491,0.4317848946887679,0.662226277249503,0.7628142766340672,0.8137487700814768,0.551090925640274,0.7987814493978221,0.6777338576565055,0.7137741786605281,0.7183128216336002,0.7411458832667752,0.6438436536896713,0.690222393660242,0.6352082245884372,0.6194997433777747,0.7664660967875758,0.6949216294611368,0.6739245638150761,0.8221702381539542,Bom
10,48,0,N,5.320103,0.5,0,2.779621,0.5,0,5.357514,0.5,0,4.911095,0.5,0,4.621653,0.5,1,0.6032845445892268,0.5604933904505324,0.4862057869717227,0.5024220121798114,0.762869433973754,0.6558595964588059,0.6033237338300221,0.78417587302078,0.5559450613858847,0.5022179640475096,0.6460506139870268,0.6276639024648204,0.6514638781994755,0.6247175696012367,0.45106867714616156,0.775456881887858,0.5153022865262776,0.68394642447877,0.559840072997615,0.6397261692436829,0.8234623694962043,0.634604555871348,0.6873779928585819,0.6570832164297593,0.5456044703217938,0.6228079936879521,0.4707196356273828,0.7047163403381916,0.7204008920845562,0.38090061682041926,0.6951649224082072,0.6514385501362006,0.6467444146589699,0.47926148287752474,0.491433757588432,0.3657564054030172,0.38188740726990206,0.45557073425751377,0.3682027205882572,0.716344514849204,0.840887747372152,0.821254876610526,0.5752127935762713,0.8655417766928175,0.6825693094660106,0.7539987209755898,0.7888851452579182,0.7539397926950868,0.6552927201329523,0.7210708780203231,0.6635338818236562,0.6491428930688259,0.7620693859491914,0.6623494551455664,0.6551482383306869,0.8263170360230477,Bom
11,96,0,N,4.593392,0.5,0,3.241813,0.5,0,4.739491,0.5,0,4.736901,0.5,0,4.118489,0.5,1,0.32627701393344943,0.6186042201930079,0.30707548836530263,0.4000990699941866,0.6960990356507861,0.607281923509438,0.5338453533691988,0.7155448870870937,0.4988130000219846,0.48877791765972217,0.6559552007151531,0.6356584401528433,0.7446027103523654,0.6393298957909075,0.5567637728684615,0.6484937068375806,0.4773914530620613,0.6280956169508726,0.46207855396354336,0.5241708337545047,0.7192702049074331,0.5189584087267014,0.5765963930468176,0.5647109046164566,0.5786437643134481,0.5237552576093536,0.41564064259600864,0.6834709060073308,0.5575777871748476,0.46209861844000016,0.6053853515551736,0.6693846504446789,0.5694514886416108,0.5548084525145262,0.6379674539877676,0.5180800214157459,0.48875019766029715,0.6036694363867323,0.5270973206720942,0.6976963561935514,0.7605051409720253,0.7968258588443716,0.6598561385134301,0.7779509987938878,0.664347529230844,0.7279980896649559,0.7416015789068676,0.7558727476305619,0.6026377601822327,0.7085921543162603,0.6662412838486244,0.6402400468594395,0.772719785795013,0.707339500205325,0.6754492659553226,0.8120785346607297,Bom
